,day_of_year,std_max,std_min
0,01-01,6.349539143381457,3.9453849410841295
1,01-02,7.156515050404549,6.165333810914048
2,01-03,7.488479485182556,6.72381295595488
3,01-04,7.298868633790673,7.148159156967151
4,01-05,5.125907984607862,6.856522028939552
5,01-06,5.695147788541865,5.155115355967642
6,01-07,6.625592350877011,5.716602924814701
7,01-08,4.953524839276908,6.130979448668873
8,01-09,5.882809702854583,5.667534678617619
9,01-10,6.582213406851325,6.819269071291042
10,01-11,6.619826332062404,5.928087100124851
11,01-12,6.117055746026834,6.1869115073678
12,01-13,4.535563471058454,5.076395932811654
13,01-14,5.1089647353124965,5.112182084654906
14,01-15,6.086757401660308,4.887239234305335
15,01-16,6.739329838097149,7.270153322546458
16,01-17,7.8251092005159935,8.316133757141392
17,01-18,7.2900652260456456,6.6826360816671695
18,01-19,5.892876009782195,6.825074920223705
19,01-20,6.417751735096434,6.176332865598057
20,01-21,5.8741788646016975,5.692324451985026
21,01-22,5.279357599809519,4.82052037301645
22,01-23,6.669195553688119,5.185211085385052
23,01-24,5.703775416336097,5.201132312615524
24,01-25,6.286028608482988,5.6830977468278725
25,01-26,5.842172198763047,5.611221405956697
26,01-27,6.761993000094963,5.606858508410331
27,01-28,6.013122233914754,4.903107416050895
28,01-29,5.792861986962912,4.753345558656554
29,01-30,6.41587873950248,5.545843037807673
30,01-31,7.391672115743951,6.764820470640745
31,02-01,6.896468492400045,6.693662126718596
32,02-02,7.727897687383474,7.086120988712123
33,02-03,8.424661773626301,7.5233753063369315
34,02-04,7.375160518027153,8.024662651268688
35,02-05,6.138143041669849,6.318972806820203
36,02-06,7.177431806247482,7.104976589217833
37,02-07,6.236527131879274,6.491723268901732
38,02-08,7.328761764445603,5.75462167884793
39,02-09,7.238268945910573,6.498140759735339
40,02-10,7.314826268157943,7.374128038848584
41,02-11,7.797786181560336,6.634710443317533
42,02-12,7.105024818159793,6.970833474795785
43,02-13,5.462120864035631,6.142566049027611
44,02-14,5.116801637742068,4.6164491404830725
45,02-15,6.139186645368168,5.268745486356304
46,02-16,5.445628919907544,4.943938645789741
47,02-17,5.86294172465211,5.423125636260578
48,02-18,6.74608721161138,5.30379669042218
49,02-19,5.216834928063828,4.968115437467208
50,02-20,4.567562916917509,3.227986885557841
51,02-21,5.256258555284357,2.849090498153165
52,02-22,6.605863481281858,4.332056016873899
53,02-23,5.997437730675784,5.167173889080955
54,02-24,6.694428081123387,5.475931184130544
55,02-25,7.917674174486679,5.751289188810923
56,02-26,7.240539229458895,6.589053422154033
57,02-27,6.241883876950394,5.135614114527414
58,02-28,6.02544277764437,4.1745377788045825
59,02-29,8.778120256529599,6.157964645191532
60,03-01,7.137586263343274,5.6696129497523895
61,03-02,6.507361856646161,5.995395233010078
62,03-03,6.865844036484755,5.285573195028142
63,03-04,5.257591083376494,5.0896226120738435
64,03-05,6.613186952345043,5.279633920390076
65,03-06,6.974475559734462,5.374259266788924
66,03-07,7.351919817299421,6.203188642410719
67,03-08,8.325634950761009,6.399144161526607
68,03-09,7.049423900811565,5.201873861087629
69,03-10,6.718533520543493,5.011960926955983
70,03-11,7.3792976856428085,5.545954982387329
71,03-12,7.617556476106147,5.940060970506397
72,03-13,6.8918781184812,5.032674338758672
73,03-14,7.267199873403777,5.70007216328588
74,03-15,6.4950193225270745,4.166159982525872
75,03-16,5.462217406877913,3.7002507572685763
76,03-17,4.958978658285722,3.708449810904828
77,03-18,5.4412425664242,4.450104980035111
78,03-19,5.757552084002369,4.195047000134015
79,03-20,6.352283526417867,4.226141542037302
80,03-21,6.846725446031373,4.0682957939002815
81,03-22,5.664187202650237,5.076222348689366
82,03-23,5.381501587227613,4.1626397073651855
83,03-24,6.007410507032125,4.6509752382340865
84,03-25,6.282534997912876,5.397295866141358
85,03-26,7.488933346389639,5.705189070778746
86,03-27,6.1693842750580385,6.369075102922456
87,03-28,6.4548951192099135,5.307053231313961
88,03-29,5.556775953734322,4.252135620289325
89,03-30,6.083527622468177,4.110565654505472
90,03-31,5.47524754387111,3.531486325425405
91,04-01,5.036875618873276,3.494453843831201
92,04-02,5.751499891332692,4.100508992795885
93,04-03,6.290507080779208,4.496035772396248
94,04-04,5.780932364247134,4.535434562053193
95,04-05,6.054939636363018,5.135169812187325
96,04-06,6.687978219661508,5.3599271761221985
97,04-07,6.6041112952463115,5.485468287515045
98,04-08,7.147065901473121,4.966892120162609
99,04-09,6.443940952553816,5.43572663035955
100,04-10,6.887873111490958,5.632197262170414
101,04-11,5.270840002630824,4.881262917183084
102,04-12,5.410924659119409,4.633364760085263
103,04-13,4.958766647732738,4.719542809778661
104,04-14,5.429738238012333,4.098106269973985
105,04-15,6.07917310714758,4.691864696827197
106,04-16,6.1104318723529385,5.293702768384326
107,04-17,6.662057665116183,5.718732318734052
108,04-18,5.743297920184882,5.687806782934869
109,04-19,5.828925000947131,5.152751692057369
110,04-20,5.033161696852849,3.9639716194745884
111,04-21,5.585671401004547,4.534304540573617
112,04-22,5.412693784059839,4.349960459590414
113,04-23,4.784062499591751,3.961962771152697
114,04-24,4.9375532739742,3.6262835888367277
115,04-25,5.30469455608268,4.490909336277748
116,04-26,5.824786033266212,4.335845822904693
117,04-27,5.849935099355115,4.832117375781897
118,04-28,4.352999923424455,4.621605312731334
119,04-29,4.261204133418948,2.8526710874780794
120,04-30,4.376256086352062,3.570888918276056
121,05-01,4.747185130860881,3.6556258926026226
122,05-02,4.131338887092167,3.505230234948898
123,05-03,3.99918795924039,3.4557592991024886
124,05-04,3.3458157948896843,3.5325275181754177
125,05-05,3.6978095768531247,3.8869333670645787
126,05-06,5.037680451689382,4.560203650423233
127,05-07,4.50348383661658,4.704050311522337
128,05-08,4.942292754043063,5.06389237642349
129,05-09,4.435167527839277,4.923061784431853
130,05-10,4.124890786433015,5.379366536436544
131,05-11,4.001099932102009,4.581998581405275
132,05-12,4.424734153972791,4.137698756555392
133,05-13,5.412592632001798,3.789647389049975
134,05-14,4.955370823661932,4.439172858390018
135,05-15,4.168136354135574,4.540695541434151
136,05-16,4.495954959738793,4.745281867286705
137,05-17,4.933086863212513,4.553589682876577
138,05-18,4.82384535407179,4.770093744711242
139,05-19,4.678873902981367,4.547145881392703
140,05-20,4.700424874412952,5.076135767819195
141,05-21,4.402183170503769,4.685141869072219
142,05-22,3.707471150708168,4.467753051963964
143,05-23,3.7167145886297637,3.5814718575840616
144,05-24,4.067752163869706,3.866716651975772
